,Ground,THSR Cap,generated
813,RMN9,RRNH,RMN9
814,Z2RP,ZZNM,Z2RP
815,RM9N,K5AN,RM9N
816,FP4Y,YYFY,FP4Y
817,FKY5,QKTT,FKY5
818,5YCY,5KCY,5YCY
819,QAKA,Q4KA,QAKA
820,P9P3,T97R,P9P3
821,3TN3,3TN5,3TN3
822,3HK9,RYKY,3HK9
823,YPC3,YPC5,YPC3
824,MHR9,MK5Y,M5R9
825,A52P,AKZH,A52P
826,Y9K5,TRKK,Y9K5
827,ZT3K,TTRR,ZT3K
828,3KT9,QKTH,3KT9
829,FC4P,Y54Y,FC4P
830,492A,TRZA,492A
831,TFYY,TTTY,TFYY
832,CPY9,CTYH,CPY9
833,ACCZ,AKCZ,ACCZ
834,HQQM,KQZM,HQQM
835,4KYA,TKNN,4KYA
836,4Y2R,4YTR,4Y2R
837,KMH2,YMHQ,KMH2
838,979A,H7MA,979A
839,ZFCR,Q5QQ,2FCR
840,CP44,TQ44,CP44
841,R53K,TQTK,R53K
842,PZ47,TZAM,PZ47
843,P3FT,YRFT,P3FT
844,2CPQ,ACNN,2CPQ
845,5QNA,RCNN,5QNA
846,NYZ5,AKZZ,NYZ5
847,P3F4,TTF4,P3F4
848,2TR4,7T4N,2TR4
849,C7FY,TZFN,C7FY
850,79MR,TMRQ,79NR
851,PT75,TTTR,PTT5
852,7NZR,YKZQ,7NZR
853,AZ7A,AZT9,AZ7A
854,NPH9,NM7M,NPH9
855,23AA,R5NR,23AA
856,FC97,YKR7,FQ97
857,922C,RZZC,922C
858,Q9YT,C9NT,Q9YT
859,7R3Q,2NAY,7R3Q
860,AT7N,ATTN,ATTN
861,KZPY,YZNN,KZPY
862,QRFN,CAFR,QRFN
863,THTP,YHT7,THTP
864,9KHA,RKHN,9KHA
865,MK9A,9KRN,MKKA
866,NY9R,NYTT,NY9R
867,CRC4,CRT4,CRC4
868,R4Y5,Q4TF,R4Y5
869,Q42C,CKZC,Q42C
870,488T,4ATT,453T
871,3MTH,TKTY,3MTH
872,33FM,AT7N,33FM
873,CTTM,CY7M,CTTM
874,P24M,CZFM,P24M
875,Q4P7,TNMP,Q4P7
876,7QAK,2NMA,7QAK
877,FPCH,YNCY,FPCH
878,Y7PT,Y7PT,Y7PT
879,M3PQ,MNNK,M3PQ
880,Y2CQ,YQCZ,Y2CQ
881,73ZT,YRZT,73ZT
882,7H4Q,24NK,7H4Q
883,CQH5,CQMK,CQH5
884,5N43,CKQ5,5N43
885,43PZ,4RPZ,43PZ
886,C4N5,K9PR,C4N5
887,3ZT7,NZTY,3ZT2
888,HNPH,YKRR,HNPH
889,NZRN,N4RY,NZRN
890,YHH3,YF95,YHH3
891,CYQH,CQ3A,CYQH
892,A4NQ,A4NM,A4NQ
893,2QT4,2NT4,2QT4
894,R7QN,A7MN,R7QN
895,3NPQ,CNAQ,3NPQ
896,ZF4C,ZK4Y,ZF4C
897,QN5P,QN5P,QN5P
898,Q757,CY32,Q757
899,2TPN,QTTN,2TPN
900,QN4C,C9NK,QN4C
901,Y32R,YRZN,Y32R
902,7YAF,TYFF,7YAF
903,QN7Y,CN2N,QN7Y
904,YAT5,YAT5,YAT5
905,KAR5,YPRT,KAR5
906,PZ5A,YTRK,PZ5A
907,CKYK,CTRK,CKYK
908,37PA,T7TT,37PA
909,FF35,YTTQ,FF55
910,97NQ,A7HZ,97NQ
911,3K9Q,4NMY,3K9Q
912,A3R9,QTRH,A3R9
913,HCMN,HKTN,HCMN
914,Z35Z,7QKC,Z35Z
915,4PAC,HP4K,4PAC
916,2QZH,YZTR,2QZH
917,7M3P,TQRP,7M3P
918,CZ77,QZZY,CZ77
919,4ZYN,47YN,4ZYN
920,2KK7,QKK7,2KK7
921,2R2K,ZKZK,2R2K
922,CT7N,CTTN,CT7N
923,Y2A9,YZRR,Y2A9
924,ZYAM,ZYNM,ZYAM
925,2NAQ,7NN2,2NAQ
926,3QPC,A5NN,3QPC
927,F9H5,TQT5,F9H5
928,P9PA,Y5NA,P9PA
929,4AYY,4NYT,4AYY
930,A92Y,7AZY,A92Y
931,FYKK,TTKK,FYKK
932,9A2K,RNZK,9A2K
933,3HQ3,RHRA,3HQ3
934,C3P4,T5H4,C3P4
935,3TAY,ZT2Y,3TAY
936,74QT,243T,74QT
937,PRC9,YTT3,PRC9
938,595K,59RK,595K
939,T2QH,Y7CH,T2QH
940,ZPF4,YQT4,ZPF4
941,T7NN,T7NR,T7NN
942,9MPQ,AKAY,9MPQ
943,T77F,TTTH,T77F
944,YRNF,YRNY,YRNF
945,A73P,ATRF,A73P
946,3TZF,TTZH,3TZF
947,4AC4,TNC4,4AC4
948,NQAP,NNMA,NQAP
949,2PQM,23KM,2PQM
950,937H,ARTP,937H
951,Y7FM,47FM,Y7FM
952,57ZA,Y7ZA,57ZA
953,CQRN,2QN9,CQRN
954,CMCA,C5RN,CMCA
955,K75F,RTTR,K75F
956,P3PH,YRFH,P3NH
957,NP3H,Q47H,NP3H
958,FAYN,HKYN,FAYN
959,539T,NR9T,539T
960,FC47,A447,FC47
961,75C2,TTKZ,75C2
962,TAQ3,TNQ5,TAQ3
963,KQ9P,NCAM,KQ9P
964,P3K4,P5K4,P3K4
965,R29H,5ZMY,R29H
966,HAMY,HAKY,HAMY
967,QNCC,CNKK,QNCC
968,3K5Q,RKNM,3K5Q
969,K4FN,K9QY,K4FN
970,FZZC,9ZZA,FZZC
971,2Q5N,2K3N,2Q5N
972,ZZPR,Q7MN,ZZNR
973,PMM5,PMN5,PMM5
974,NKK3,NKKA,NKK3
975,PAMN,YMMN,PAMN
976,5CHN,5KTN,5CHN
977,77ZR,T7ZP,77ZR
978,N79H,NZFY,N79H
979,R5QN,2NMN,R5QN
980,HM9Z,HMAA,HM3Z
981,F4NZ,Y9NQ,F4NZ
982,CC9K,QK3K,CC9K
983,HK9K,AKQK,HK9K
984,ANPF,AQRF,ANFF
985,59YT,5PYT,59YT
986,HYQ5,Y9YK,HYQ5
987,T2HK,YQMK,T2HK
988,P9QQ,A9ZK,P9QQ
989,A724,YC7N,A724
990,7AKR,YNKQ,7AKR
991,YK7M,YR2N,YK7M
992,P9QF,THK9,P9QF
993,4MM3,4MNH,4MM3
994,7F59,TTKM,7F59
995,7H95,T4TR,7H95
996,9MR9,TMRR,9MR9
997,PYRN,RYTN,PYRN
998,H9FY,ANNY,H9FY
999,QFCK,CNNK,QFCK
word score,1.0,0.021,0.894
char score,1.0,0.356,0.97175
